Time	MGCplus_1	MGCplus_2	MGCplus_3	MGCplus_4	MGCplus_5
0	-0.01062	-0.00782	-0.01055	0	-0.00387
0.005	-0.01026	-0.00736	-0.01044	0	-0.00423
0.01	-0.01004	-0.00719	-0.01048	-0.00015	-0.00458
0.015	-0.00994	-0.00728	-0.0103	0	-0.00455
0.02	-0.00973	-0.0076	-0.01006	-0.00034	-0.00468
0.025	-0.00899	-0.00758	-0.00951	-0.00056	-0.00475
0.03	-0.00838	-0.0074	-0.00904	-0.00051	-0.00432
0.035	-0.00806	-0.00736	-0.00892	-0.00038	-0.004
0.04	-0.00774	-0.00751	-0.00875	-0.00048	-0.00402
0.045	-0.00735	-0.00769	-0.00899	-0.00076	-0.00417
0.05	-0.00689	-0.00778	-0.00932	-0.00096	-0.00447
0.055	-0.00656	-0.00785	-0.0095	-0.0009	-0.00427
0.06	-0.00641	-0.00807	-0.00963	-0.00092	-0.00417
0.065	-0.00623	-0.00814	-0.00975	-0.00114	-0.00405
0.07	-0.00604	-0.00813	-0.00982	-0.00145	-0.00412
0.075	-0.0055	-0.00819	-0.00969	-0.00139	-0.00414
0.08	-0.00542	-0.00801	-0.00954	-0.00129	-0.00414
0.085	-0.00576	-0.00753	-0.0095	-0.00119	-0.00399
0.09	-0.00586	-0.0074	-0.00984	-0.00137	-0.00388
0.095	-0.00573	-0.0075	-0.01034	-0.00159	-0.00373
0.1	-0.00566	-0.00748	-0.01071	-0.00174	-0.00364
0.105	-0.00573	-0.00739	-0.01093	-0.002	-0.00347
0.11	-0.00582	-0.00741	-0.01057	-0.0021	-0.0034
0.115	-0.00566	-0.00735	-0.01006	-0.00204	-0.0033
0.12	-0.00547	-0.00744	-0.00984	-0.00263	-0.00324
0.125	-0.00547	-0.00744	-0.00969	-0.00274	-0.0031
0.13	-0.0055	-0.00768	-0.00989	-0.00263	-0.00302
0.135	-0.00518	-0.00792	-0.00997	-0.00286	-0.00286
0.14	-0.00497	-0.00802	-0.01	-0.00315	-0.0029
