Time	MGC1	MGC2	MGC3	MGC4	MGC5
0	0.01596	0.0145	-0.01425	0.01036	0.0093
0.005	0.01422	0.01432	-0.01445	0.01009	0.00949
0.01	0.01281	0.01412	-0.01423	0.00993	0.00947
0.015	0.01232	0.01395	-0.01411	0.00958	0.00926
0.02	0.0123	0.01395	-0.01382	0.00955	0.00962
0.025	0.01275	0.01421	-0.01375	0.00944	0.01004
0.03	0.01232	0.01455	-0.01379	0.0082	0.01039
0.035	0.01161	0.01421	-0.01403	0.00769	0.01071
0.04	0.01115	0.01361	-0.01444	0.00763	0.01107
0.045	0.01101	0.0132	-0.01488	0.00749	0.01179
0.05	0.01085	0.01309	-0.01532	0.00753	0.01262
0.055	0.01033	0.01302	-0.0155	0.00776	0.01299
0.06	0.01031	0.01306	-0.01597	0.00828	0.01297
0.065	0.00968	0.01337	-0.0164	0.00842	0.01278
0.07	0.00803	0.01321	-0.01665	0.00828	0.01251
0.075	0.00666	0.01301	-0.0165	0.0082	0.01244
0.08	0.00543	0.01272	-0.0165	0.00868	0.01195
0.085	0.00434	0.01252	-0.01632	0.00875	0.01162
0.09	0.00335	0.01236	-0.01588	0.00863	0.01186
0.095	0.0021	0.01196	-0.01593	0.00863	0.01204
0.1	0.00099	0.01162	-0.01576	0.00834	0.01206
0.105	0.00047	0.01132	-0.01562	0.00783	0.01187
0.11	0.00054	0.01108	-0.01557	0.0075	0.01156
0.115	0.00208	0.0107	-0.01571	0.00753	0.01151
0.12	0.00444	0.01063	-0.01566	0.00761	0.01182
0.125	0.00667	0.01072	-0.01524	0.00766	0.01177
0.13	0.0087	0.0104	-0.01516	0.00769	0.01179
0.135	0.01061	0.00992	-0.01551	0.00771	0.01175
0.14	0.01256	0.0096	-0.01576	0.00757	0.01174
0.145	0.01454	0.00912	-0.01557	0.00782	0.01148
0.15	0.01616	0.00889	-0.0155	0.0081	0.01105
0.155	0.01736	0.00862	-0.01586	0.00844	0.01051
0.16	0.01795	0.00829	-0.01621	0.00844	0.00988
0.165	0.01769	0.0082	-0.01633	0.00801	0.00887
0.17	0.01706	0.00829	-0.01637	0.0076	0.00814
0.175	0.0156	0.00841	-0.0164	0.00693	0.00807
0.18	0.01353	0.00831	-0.01636	0.00669	0.00811
0.185	0.01208	0.00821	-0.01657	0.00676	0.00801
0.19	0.01091	0.008	-0.01667	0.00698	0.00777
0.195	0.00895	0.00825	-0.01664	0.00658	0.00755
0.2	0.00696	0.00822	-0.0167	0.00628	0.00722
0.205	0.00549	0.00753	-0.01694	0.00632	0.00674
0.21	0.00428	0.00693	-0.01695	0.00614	0.00609
0.215	0.0033	0.00637	-0.01724	0.00644	0.00563
0.22	0.00305	0.00618	-0.01719	0.00682	0.00505
0.225	0.00315	0.00555	-0.01715	0.00686	0.00467
0.23	0.00366	0.00461	-0.01707	0.00682	0.00452
0.235	0.00442	0.00402	-0.0169	0.00645	0.00402
0.24	0.00527	0.00391	-0.01662	0.00598	0.00335
0.245	0.00529	0.00354	-0.01645	0.00611	0.00274
0.25	0.00514	0.00299	-0.01618	0.0067	0.00246
0.255	0.00558	0.00258	-0.01584	0.00653	0.00244
0.26	0.00663	0.00231	-0.01585	0.00622	0.00229
0.265	0.00741	0.00184	-0.01617	0.00614	0.00228
0.27	0.0088	0.00174	-0.01653	0.00625	0.00206
0.275	0.01066	0.00147	-0.01656	0.00652	0.0021
0.28	0.012	0.00043	-0.01646	0.00623	0.00176
0.285	0.01265	-0.00069	-0.01634	0.00632	0.00104
0.29	0.01308	-0.00094	-0.01613	0.00652	0.00058
0.295	0.01308	-0.00091	-0.01633	0.00679	0.00025
