Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
0.0,0.037304397721822535,-0.00951,-0.01055,-1,
0.005,0.037304397721822535,-0.00951,-0.010440000000000001,-1,
0.01,0.037304397721822535,-0.00951,-0.01048,-1,
0.015,0.037304397721822535,-0.00951,-0.0103,-1,
0.02,0.037304397721822535,-0.00951,-0.01006,-1,
0.025,0.037304397721822535,-0.00951,-0.00951,1,-0.00951
0.03,0.03777439772182254,-0.00904,-0.009040000000000001,1,-0.00904
0.035,0.037894397721822536,-0.00892,-0.00892,1,-0.00892
0.04,0.03806439772182254,-0.00875,-0.00875,1,-0.00875
0.045,0.037824397721822535,-0.00899,-0.00899,1,-0.00899
0.05,0.03749439772182254,-0.00932,-0.00932,1,-0.00932
0.055,0.03731439772182254,-0.0095,-0.0095,1,-0.0095
0.06,0.03718439772182254,-0.00963,-0.00963,1,-0.00963
0.065,0.03706439772182254,-0.00975,-0.00975,1,-0.00975
0.07,0.03699439772182254,-0.00982,-0.00982,1,-0.00982
0.075,0.037124397721822536,-0.00969,-0.00969,1,-0.00969
0.08,0.03727439772182254,-0.00954,-0.00954,1,-0.00954
0.085,0.03731439772182254,-0.0095,-0.0095,1,-0.0095
0.09,0.03697439772182254,-0.00984,-0.00984,1,-0.00984
0.095,0.03647439772182254,-0.01034,-0.01034,1,-0.01034
0.1,0.036104397721822536,-0.01071,-0.010709999999999999,1,-0.01071
0.105,0.03588439772182254,-0.01093,-0.01093,1,-0.01093
0.11,0.036244397721822544,-0.01057,-0.01057,1,-0.01057
0.115,0.03675439772182254,-0.01006,-0.01006,1,-0.01006
0.12,0.03697439772182254,-0.00984,-0.00984,1,-0.00984
0.125,0.037124397721822536,-0.00969,-0.00969,1,-0.00969
0.13,0.036924397721822544,-0.00989,-0.009890000000000001,1,-0.00989
0.135,0.03684439772182254,-0.00997,-0.00997,1,-0.00997
0.14,0.03681439772182254,-0.01,-0.01,1,-0.01
0.145,0.03690439772182254,-0.00991,-0.009909999999999999,1,-0.00991
0.15,0.037164397721822534,-0.00965,-0.00965,1,-0.00965
0.155,0.037324397721822535,-0.00949,-0.00949,1,-0.00949
0.16,0.037324397721822535,-0.00949,-0.00949,1,-0.00949
0.165,0.03726439772182254,-0.00955,-0.00955,1,-0.00955
0.17,0.03702439772182254,-0.00979,-0.00979,1,-0.00979
0.175,0.03704439772182254,-0.00977,-0.009770000000000001,1,-0.00977
0.18,0.037034397721822536,-0.00978,-0.00978,1,-0.00978
0.185,0.03701439772182254,-0.0098,-0.0098,1,-0.0098
0.19,0.03701439772182254,-0.0098,-0.0098,1,-0.0098
0.195,0.03675439772182254,-0.01006,-0.01006,1,-0.01006
0.2,0.03672439772182254,-0.01009,-0.01009,1,-0.01009
0.205,0.036924397721822544,-0.00989,-0.009890000000000001,1,-0.00989
0.21,0.036854397721822536,-0.00996,-0.00996,1,-0.00996
0.215,0.036804397721822535,-0.01001,-0.01001,1,-0.01001
0.22,0.036984397721822534,-0.00983,-0.00983,1,-0.00983
0.225,0.03702439772182254,-0.00979,-0.00979,1,-0.00979
0.23,0.03731439772182254,-0.0095,-0.0095,1,-0.0095
0.235,0.037504397721822534,-0.00931,-0.009309999999999999,1,-0.00931
0.24,0.03736439772182254,-0.00945,-0.00945,1,-0.00945
0.245,0.037484397721822535,-0.00933,-0.00933,1,-0.00933
0.25,0.03763439772182254,-0.00918,-0.009179999999999999,1,-0.00918
0.255,0.03767439772182254,-0.00914,-0.00914,1,-0.00914
0.26,0.03776439772182254,-0.00905,-0.00905,1,-0.00905
0.265,0.03790439772182254,-0.00891,-0.00891,1,-0.00891
0.27,0.03801439772182254,-0.0088,-0.0088,1,-0.0088
0.275,0.03827439772182254,-0.00854,-0.00854,1,-0.00854
0.28,0.03827439772182254,-0.00854,-0.00854,1,-0.00854
0.285,0.03806439772182254,-0.00875,-0.00875,1,-0.00875
0.29,0.038004397721822535,-0.00881,-0.00881,1,-0.00881
0.295,0.038144397721822536,-0.00867,-0.00867,1,-0.00867
0.3,0.03812439772182254,-0.00869,-0.00869,1,-0.00869
0.305,0.03795439772182254,-0.00886,-0.00886,1,-0.00886
0.31,0.03786439772182254,-0.00895,-0.00895,1,-0.00895
0.315,0.03815439772182254,-0.00866,-0.00866,1,-0.00866
0.32,0.03826439772182254,-0.00855,-0.00855,1,-0.00855
0.325,0.037894397721822536,-0.00892,-0.00892,1,-0.00892
0.33,0.03772439772182254,-0.00909,-0.00909,1,-0.00909
0.335,0.037854397721822544,-0.00896,-0.00896,1,-0.00896
0.34,0.03768439772182254,-0.00913,-0.00913,1,-0.00913
0.345,0.037734397721822535,-0.00908,-0.00908,1,-0.00908
0.35,0.037624397721822536,-0.00919,-0.00919,1,-0.00919
0.355,0.03745439772182254,-0.00936,-0.00936,1,-0.00936
0.36,0.037484397721822535,-0.00933,-0.00933,1,-0.00933
0.365,0.03731439772182254,-0.0095,-0.0095,1,-0.0095
0.37,0.037304397721822535,-0.00951,-0.00951,1,-0.00951
0.375,0.037394397721822535,-0.00942,-0.00942,1,-0.00942
0.38,0.03738439772182254,-0.00943,-0.00943,1,-0.00943
0.385,0.037034397721822536,-0.00978,-0.00978,1,-0.00978
0.39,0.036764397721822537,-0.01005,-0.01005,1,-0.01005
